theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
-2.061670178918302,-118.125,-0.0058,2.02080025817737,0.015403281259680015,0.004482695438668517,-1.460279202865138,0.0041974159188564375,-0.11736253698972154
-1.9962203319685143,-114.375,-0.0058,1.9056907813122175,0.014460827997683638,0.004264363409863826,-1.4679301950358874,0.003905223343772911,-0.10981589599774066
-1.930770485018727,-110.625,-0.0058,1.7151550459615652,0.012953642365074835,0.003868253606901321,-1.4720910672504617,0.0034772739658647835,-0.09159175131156116
-1.8653206380689398,-106.875,-0.0058,1.6612598008521362,0.012554685300937462,0.0037811146279050404,-1.487749770071703,0.0033333090734411546,-0.07902992293638555
-1.7998707911191523,-103.125,-0.0058,1.4333949172536717,0.010693212440255843,0.0033128459895321286,-1.4890402264804752,0.002797015761420499,-0.06842827206438873
-1.734420944169365,-99.375,-0.0058,1.3511141344669009,0.009914027808675731,0.0032084383549931044,-1.502041252144082,0.002493710823704655,-0.05931290551311896
-1.6689710972195777,-95.625,-0.0058,1.1662168763876481,0.008478722352703064,0.0028843805236291728,-1.5343087682577223,0.0019549308476666974,-0.037215589070757726
-1.6035212502697904,-91.87500000000001,-0.0058,1.093452636606464,0.008165180854553889,0.00281951873507395,-1.5847627816098229,0.0016515831609054564,0.004924547485465336
-1.538071403320003,-88.125,-0.0058,1.0308979298785081,0.008076125930765697,0.002779584520296564,-1.6294874299841837,0.0014055221720408733,0.022696228347966363
-1.4726215563702156,-84.375,-0.0058,0.9497181842661938,0.008660174634136078,0.002768027374058162,-1.7147189891184598,0.0012546823913144648,0.013999312900189631
-1.4071717094204284,-80.62500000000001,-0.0058,0.82829970501667,0.008829607405208162,0.0026113254238757998,-1.777641259251997,0.0011999911471444096,0.019818070933395382
-1.3417218624706408,-76.875,-0.0058,0.6391413459627798,0.008091576857883096,0.002209372285264385,-1.8314637375257563,0.0011145434878489372,0.018949147512235198
-1.2762720155208536,-73.125,-0.0058,0.59152840731926,0.008771051564704284,0.0022160475457751287,-1.881795682581614,0.0013037579718633819,0.022858339562684016
-1.2108221685710663,-69.37500000000001,-0.0058,0.49169258999147547,0.009121391621342644,0.002082526723577892,-1.9499784874652444,0.001506073429004194,0.0268506627020344
-1.145372321621279,-65.62500000000001,-0.0058,0.4437925117942884,0.009102448922789021,0.002005603347620923,-1.9746083624457724,0.0015532667798426692,0.026919197929921646
-1.0799224746714915,-61.87500000000001,-0.0058,0.33768388454744297,0.007612151789082651,0.0016405054882544662,-1.9843900416068503,0.0013091484384144308,0.022185495582379977
-1.0144726277217042,-58.12500000000001,-0.0058,0.31252554611622213,0.007244337149969936,0.0015509906902120452,-1.9811614277491452,0.001231065504474674,0.02162256343100244
-0.9490227807719169,-54.375000000000014,-0.0058,0.2533914080786082,0.005904733239447054,0.0012482486230349767,-1.9530838034111149,0.0009372288494601402,0.019230078917797738
-0.8835729338221296,-50.62500000000002,-0.0058,0.1988924705686441,0.0048329954241684665,0.0008399502837079584,-1.8287579474455251,0.000596975501642462,0.018561493918835353
-0.8181230868723421,-46.87500000000001,-0.0058,0.17875040839708878,0.0053090992960577125,0.0005287887601201609,-1.594515623560066,0.000643046395715591,0.020194738037771692
-0.7526732399225546,-43.125,-0.0058,0.1562123684499934,0.0063217070897292164,0.00022223084534002128,-0.6634366940866662,0.000904305066929822,0.02166041621032111
-0.6872233929727674,-39.37500000000001,-0.0058,0.143098085867007,0.008666319409623927,0.0006359190131890007,0.9051209211651856,0.0014039495197468823,0.02578739050529999
-0.6217735460229801,-35.62500000000001,-0.0058,0.13890369935613586,0.01121385512871004,0.0013720198826433858,1.1577058173234658,0.0019149803883182143,0.030217461386989372
-0.5563236990731928,-31.875000000000014,-0.0058,0.1485404683013919,0.013958268452975854,0.0021709020924580652,1.2410338288291884,0.0024289883651653775,0.0353932971497431
-0.4908738521234055,-28.125000000000018,-0.0058,0.1516058301040275,0.015608056204723017,0.0030126515357711443,1.2968199572371442,0.0027178091267883926,0.037048206123571056
